transaction_date,transaction_qty,unit_price,Total_Bill,product_category,product_detail,Size,Month Name,Day Name,Hour
2023-06-01,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,11
2023-06-02,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,11
2023-06-02,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,12
2023-06-02,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,19
2023-06-03,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,12
2023-06-03,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,12
2023-06-03,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,13
2023-06-03,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,18
2023-06-04,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,14
2023-06-04,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,16
2023-06-04,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,17
2023-06-05,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,12
2023-06-05,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,14
2023-06-05,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,14
2023-06-05,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,15
2023-06-05,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,16
2023-06-05,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,19
2023-06-07,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,10
2023-06-07,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,10
2023-06-07,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,12
2023-06-07,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,15
2023-06-07,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,16
2023-06-07,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,19
2023-06-08,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,11
2023-06-08,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,12
2023-06-08,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,15
2023-06-08,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,16
2023-06-08,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,19
2023-06-09,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,8
2023-06-09,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,8
2023-06-09,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,9
2023-06-09,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,9
2023-06-09,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,12
2023-06-10,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,14
2023-06-11,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,9
2023-06-11,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,9
2023-06-11,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,9
2023-06-11,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,19
2023-06-13,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,7
2023-06-13,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,10
2023-06-13,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,10
2023-06-13,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,14
2023-06-13,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,16
2023-06-13,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,17
2023-06-14,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,8
2023-06-14,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,8
2023-06-14,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,10
2023-06-14,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,14
2023-06-15,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,7
2023-06-15,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,9
2023-06-15,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,10
2023-06-15,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,15
2023-06-16,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,17
2023-06-16,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,18
2023-06-17,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,7
2023-06-17,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,9
2023-06-17,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,9
2023-06-18,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,9
2023-06-18,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,11
2023-06-19,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,9
2023-06-19,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,15
2023-06-19,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,15
2023-06-19,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,16
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,8
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,8
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,9
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,10
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,10
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,10
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,11
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,14
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,14
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,17
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,19
2023-06-20,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,19
2023-06-21,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,8
2023-06-21,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,10
2023-06-22,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,8
2023-06-22,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,11
2023-06-22,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,11
2023-06-22,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,14
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,7
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,9
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,11
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,11
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,12
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,12
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,15
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,16
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,16
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,16
2023-06-23,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,17
2023-06-24,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,9
2023-06-24,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,12
2023-06-24,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,16
2023-06-24,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,16
2023-06-24,1,3.0,3.0,Tea,Peppermint,Large,June,Saturday,19
2023-06-25,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,8
2023-06-25,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,9
2023-06-25,1,3.0,3.0,Tea,Peppermint,Large,June,Sunday,17
2023-06-26,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,7
2023-06-26,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,10
2023-06-26,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,11
2023-06-26,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,15
2023-06-26,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,15
2023-06-26,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,16
2023-06-26,1,3.0,3.0,Tea,Peppermint,Large,June,Monday,18
2023-06-27,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,8
2023-06-27,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,9
2023-06-27,1,3.0,3.0,Tea,Peppermint,Large,June,Tuesday,19
2023-06-28,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,7
2023-06-28,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,13
2023-06-28,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,14
2023-06-28,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,14
2023-06-28,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,14
2023-06-28,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,16
2023-06-28,1,3.0,3.0,Tea,Peppermint,Large,June,Wednesday,17
2023-06-29,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,9
2023-06-29,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,9
2023-06-29,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,12
2023-06-29,1,3.0,3.0,Tea,Peppermint,Large,June,Thursday,16
2023-06-30,1,3.0,3.0,Tea,Peppermint,Large,June,Friday,19
2023-05-01,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,11
2023-05-02,1,3.0,3.0,Tea,Peppermint,Large,May,Tuesday,11
2023-05-02,1,3.0,3.0,Tea,Peppermint,Large,May,Tuesday,19
2023-05-03,1,3.0,3.0,Tea,Peppermint,Large,May,Wednesday,12
2023-05-03,1,3.0,3.0,Tea,Peppermint,Large,May,Wednesday,12
2023-05-03,1,3.0,3.0,Tea,Peppermint,Large,May,Wednesday,12
2023-05-03,1,3.0,3.0,Tea,Peppermint,Large,May,Wednesday,18
2023-05-04,1,3.0,3.0,Tea,Peppermint,Large,May,Thursday,11
2023-05-04,1,3.0,3.0,Tea,Peppermint,Large,May,Thursday,13
2023-05-04,1,3.0,3.0,Tea,Peppermint,Large,May,Thursday,14
2023-05-04,1,3.0,3.0,Tea,Peppermint,Large,May,Thursday,17
2023-05-04,1,3.0,3.0,Tea,Peppermint,Large,May,Thursday,18
2023-05-05,1,3.0,3.0,Tea,Peppermint,Large,May,Friday,11
2023-05-05,1,3.0,3.0,Tea,Peppermint,Large,May,Friday,12
2023-05-05,1,3.0,3.0,Tea,Peppermint,Large,May,Friday,14
2023-05-05,1,3.0,3.0,Tea,Peppermint,Large,May,Friday,14
2023-05-05,1,3.0,3.0,Tea,Peppermint,Large,May,Friday,16
2023-05-05,1,3.0,3.0,Tea,Peppermint,Large,May,Friday,19
2023-05-06,1,3.0,3.0,Tea,Peppermint,Large,May,Saturday,13
2023-05-07,1,3.0,3.0,Tea,Peppermint,Large,May,Sunday,12
2023-05-07,1,3.0,3.0,Tea,Peppermint,Large,May,Sunday,16
2023-05-07,1,3.0,3.0,Tea,Peppermint,Large,May,Sunday,18
2023-05-08,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,10
2023-05-08,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,11
2023-05-08,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,12
2023-05-08,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,13
2023-05-08,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,15
2023-05-08,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,16
2023-05-08,1,3.0,3.0,Tea,Peppermint,Large,May,Monday,19
2023-05-09,1,3.0,3.0,Tea,Peppermint,Large,May,Tuesday,8
2023-05-09,1,3.0,3.0,Tea,Peppermint,Large,May,Tuesday,8
2023-05-09,1,3.0,3.0,Tea,Peppermint,Large,May,Tuesday,9
2023-05-09,1,3.0,3.0,Tea,Peppermint,Large,May,Tuesday,12
2023-05-10,1,3.0,3.0,Tea,Peppermint,Large,May,Wednesday,7
2023-05-10,1,3.0,3.0,Tea,Peppermint,Large,May,Wednesday,9
